%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
1407778115950915287,243,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.1643542137,-1.77315608959,0.494983376002,-0.869735148798,1.20644726069,2.97813368484
1407778116051799882,244,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.09803271413,-1.77664696115,0.467058534075,-0.869735148798,1.17503101458,2.97289764382
1407778116150987165,245,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.02822060931,-1.77839239693,0.460077323594,-0.869735148798,1.17503101458,2.97289764382
1407778116250851710,246,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.96015367396,-1.77839239693,0.458332020973,-0.869735148798,1.17503101458,2.97289764382
1407778116350824331,247,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.89034156914,-1.77839239693,0.456586718353,-0.87235303615,1.17503101458,2.97289764382
1407778116451900574,248,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.82227476695,-1.77839239693,0.456586718353,-0.87235303615,1.17503101458,2.97289764382
1407778116550991869,249,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.75246266213,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778116650845387,250,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.68265055732,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778116750950211,251,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.6128384525,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778116850790658,252,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.54477165031,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778116950809509,253,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.47495954549,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117050977242,254,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.4068927433,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117151829265,255,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.33708063848,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117250956466,256,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.26901383629,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117350883807,257,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.19920173147,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117450789626,258,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.12938962666,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117550888751,259,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,1.06132282446,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117651045450,260,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.991510719645,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117750790756,261,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.92169861483,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117851882432,262,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.853627817893,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778117950978336,263,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.783810386756,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778118050827722,264,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.715738391397,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778118150893310,265,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.645920960259,-1.77839239693,0.454841415733,-0.87235303615,1.17241299407,2.97289764382
1407778118251884734,266,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.576103529121,-1.77839239693,0.454841415733,-0.87235303615,1.17241299407,2.97289764382
1407778118350781961,267,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.508031533762,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778118450931012,268,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.438214102625,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778118550787098,269,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.370142107266,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778118686900873,270,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.286361189901,-1.77839239693,0.456586718353,-0.87235303615,1.17241299407,2.97289764382
1407778118750824601,271,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.249707038554,-1.77839239693,0.454841415733,-0.87235303615,1.17241299407,2.97289764382
1407778118850786257,272,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.214798322985,-1.7888650116,0.437388389529,-0.885442472907,1.13837872744,2.9414813977
1407778118950925612,273,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,0.153708070739,-1.79584675471,0.392010521399,-0.888060360259,1.06769217368,2.92053723362
